AAY47393.1	A0A0H2X2S0
AAY47394.1	A0A0H2X331
AAY47395.1	A0A0H2X4H6
AAY47396.1	A0A0H2X3B1
AAY47397.1	A0A0H2X4E2
AAY47398.1	A0A0H2X2S4
AAY47399.1	A0A0H2X336
AAY47400.1	A0A0H2X4I0
AAY47401.1	A0A0H2X3B4
AAY47402.1	A0A0H2X4E7
AAY47403.1	Q4UZX0
AAY47404.1	A0A0H2X2S9
AAY47405.1	A0A0H2X341
AAY47406.1	A0A0H2X4I7
AAY47407.1	A0A0H2X3C0
AAY47408.1	A0A0H2X4F2
AAY47409.1	A0A0H2X2T4
AAY47410.1	A0A0H2X346
AAY47411.1	A0A0H2X4J1
AAY47412.1	A0A0H2X3C3
AAY47413.1	A0A0H2X4F7
AAY47414.1	A0A0H2X2T9
AAY47415.1	A0A0H2X351
AAY47416.1	A0A0H2X4J6
AAY47417.1	A0A0H2X3C8
AAY47418.1	A0A0H2X4G2
AAY47419.1	A0A0H2X2U4
AAY47420.1	A0A0H2X357
AAY47421.1	A0A0H2X4K1
AAY47422.1	A0A0H2X3D3
AAY47423.1	A0A0H2X4G8
AAY47424.1	A0A0H2X2U7
AAY47425.1	A0A0H2X361
AAY47426.1	A0A0H2X4K6
AAY47427.1	A0A0H2X3D7
AAY47428.1	A0A0H2X4H2
AAY47429.1	A0A0H2X2V1
AAY47430.1	A0A0H2X365
AAY47432.1	A0A0H2X3E2
AAY47433.1	A0A0H2X4H8
AAY47434.1	A0A0H2X2V5
AAY47435.1	A0A0H2X370
AAY47436.1	A0A0H2X4L5
AAY47437.1	A0A0H2X3E6
AAY47438.1	A0A0H2X4I3
AAY47431.1,AAY47439.1	A0A0H2X2V9
AAY47440.1	A0A0H2X375
AAY47441.1	Q4UZT2
AAY47442.1	A0A0H2X4M0
AAY47443.1	A0A0H2X3F0
AAY47444.1	A0A0H2X4I8
AAY47445.1	A0A0H2X2W3
AAY47446.1	A0A0H2X378
AAY47447.1	A0A0H2X4M4
AAY47448.1	A0A0H2X3F4
AAY47449.1	A0A0H2X4J3
AAY47450.1	A0A0H2X2W6
AAY47451.1	A0A0H2X382
AAY47452.1	A0A0H2X4M9
AAY47453.1	A0A0H2X3F9
AAY47454.1	A0A0H2X4J9
AAY47455.1	Q4UZR8
AAY47456.1	A0A0H2X2X2
AAY47457.1	A0A0H2X387
AAY47458.1	A0A0H2X4N4
AAY47459.1	A0A0H2X3G4
AAY47460.1	A0A0H2X4K5
AAY47461.1	A0A0H2X2X6
AAY47462.1	A0A0H2X392
AAY47463.1	A0A0H2X4N8
AAY47464.1	A0A0H2X3G9
AAY47465.1	A0A0H2X4L0
AAY47466.1	A0A0H2X2Y3
AAY47467.1	A0A0H2X395
AAY47468.1	A0A0H2X4P3
AAY47469.1	A0A0H2X3H4
AAY47470.1	A0A0H2X4L6
AAY47471.1	A0A0H2X2Y8
AAY47472.1	A0A0H2X399
AAY47473.1	A0A0H2X4P8
AAY47474.1	Q4UZP9
AAY47475.1	A0A0H2X3H9
AAY47476.1	A0A0H2X4M1
AAY47477.1	A0A0H2X2Z3
AAY47478.1	A0A0H2X3A3
AAY47479.1	A0A0H2X4Q2
AAY47480.1	A0A0H2X3I4
AAY47481.1	A0A0H2X4M6
AAY47482.1	Q4UZP1
AAY47483.1	A0A0H2X2Z6
AAY47484.1	Q4UZN9
AAY47485.1	Q4UZN8
AAY47486.1	A0A0H2X3A8
AAY47487.1	Q4UZN6
AAY47488.1	A0A0H2X4Q6
AAY47489.1	A0A0H2X3I9
AAY47490.1	A0A0H2X4N1
AAY47491.1	A0A0H2X2Z9
AAY47492.1	A0A0H2X3B2
AAY47493.1	A0A0H2X4R1
AAY47495.1	A0A0H2X4N7
AAY47497.1	A0A0H2X3B6
AAY47498.1	A0A0H2X4R6
AAY47499.1	A0A0H2X3J9
AAY47500.1	A0A0H2X4P2
AAY47501.1	A0A0H2X309
AAY47502.1	A0A0H2X3C1
AAY47503.1	A0A0H2X4S1
AAY47504.1	A0A0H2X3K2
AAY47505.1	Q4UZL8
AAY47506.1	Q4UZL7
AAY47507.1	A0A0H2X4P7
AAY47508.1	A0A0H2X312
AAY47509.1	A0A0H2X3C6
AAY47510.1	A0A0H2X4S6
AAY47511.1	A0A0H2X3K7
AAY47512.1	A0A0H2X4Q3
AAY47513.1	A0A0H2X317
AAY47514.1	A0A0H2X3D1
AAY47515.1	A0A0H2X4T1
AAY47516.1	A0A0H2X3L1
AAY47517.1	A0A0H2X4Q8
AAY47518.1	A0A0H2X319
AAY47519.1	A0A0H2X3D6
AAY47520.1	A0A0H2X4T6
AAY47521.1	A0A0H2X3L6
AAY47522.1	A0A0H2X4R4
AAY47523.1	A0A0H2X324
AAY47524.1	A0A0H2X3E0
AAY47525.1	A0A0H2X4U1
AAY47526.1	A0A0H2X3M1
AAY47527.1	A0A0H2X4R8
AAY47528.1	Q4UZJ5
AAY47529.1	A0A0H2X330
AAY47530.1	A0A0H2X3E5
AAY47531.1	A0A0H2X4U7
AAY47532.1	A0A0H2X3M7
AAY47533.1	A0A0H2X4S4
AAY47534.1	Q4UZI9
AAY47536.1	A0A0H2X3F1
AAY47535.1	A0A0H2X333
AAY47537.1	A0A0H2X4V2
AAY47538.1	A0A0H2X3N2
AAY47539.1	A0A0H2X4T0
AAY47540.1	A0A0H2X338
AAY47541.1	A0A0H2X3F6
AAY47542.1	A0A0H2X4V7
AAY47543.1	A0A0H2X3N7
AAY47544.1	A0A0H2X4T4
AAY47545.1	A0A0H2X343
AAY47546.1	A0A0H2X3G1
AAY47547.1	A0A0H2X4W2
AAY47548.1	Q4UZH5
AAY47549.1	A0A0H2X3P1
AAY47551.1	A0A0H2X347
AAY47550.1	A0A0H2X4T9
